,baseMean,log2FoldChange,lfcSE,pvalue,padj
FCN3,8.148422464869233,-1.001973834853957,0.2000410291319414,2.975079896393593e-07,8.495505926368371e-05
SGOL1,3.6005583440404245,1.2174966572955848,0.42110685654321783,7.607119660760789e-05,0.006024032055457083
CR2,3.981582334033071,1.3344219293741106,0.3675529143632525,1.93164691040122e-05,0.002101856816586653
PAEP,3.318339304777485,1.6651068298055,0.46804076975476666,1.424227458307744e-05,0.0016424264086510457
HSPB3,2.7420804491800292,-1.1630305656623543,0.6210277737917971,0.0003393565119622644,0.018784688154465035
CYP2F1,2.3733850838038224,-1.129748790422493,1.0558537136198172,0.0006429482521385639,0.028349605529345012
LOC283392,1.8802299359003523,-1.1738233012695964,0.9527910614328201,0.0006286521153114566,0.027955526836802313
GPC5,3.7101577337560365,-1.3364124549384198,0.36681883433988427,1.8788417158029312e-05,0.00206099771142041
RGS17,2.709186055035897,1.5999690291944768,0.5403875648365078,4.367639001445407e-05,0.0039683750321213565
EEF1A2,5.253625089617877,1.4411656602369616,0.28700124004886823,1.547168994714108e-07,4.798891416363242e-05
MND1,3.101664882322268,1.2196301089594752,0.5250772164612993,0.00017263680760134042,0.011091914888386123
RAB26,2.7384558074465577,1.144629704528817,0.6241494064191389,0.00036498669565703423,0.019777441731536283
WNT3A,4.902531061216197,-1.7469072691784426,0.3035161207156589,1.5417008606574558e-09,1.733449905201727e-06
TRHDE,4.569714737016215,-1.2996097411743075,0.3073191423919232,4.6258337389297745e-06,0.0006993172181793836
IL31RA,2.880879225312578,2.045520157569909,0.4733502919280239,8.352917271184392e-07,0.00019265254065206053
KIF14,4.819266839966638,1.0376076881246419,0.32212710273340595,4.987846554914655e-05,0.004377139488922665
AGRP,2.9935041298886316,-1.4463998967721492,0.4824799389933716,5.130619986522164e-05,0.004474376071232796
KRT79,2.3029594788354077,-1.0020455380349182,0.7895784120378134,0.0009197685988901824,0.03589874598598838
IHH,4.045056564260133,-1.6431637951058797,0.3772668990385264,1.8159404939381621e-06,0.0003333547906729341
DNAJC22,3.404106677864535,1.372484377261844,0.40963848627943444,3.138125613759674e-05,0.0030849661088271333
MS4A15,7.368572890395766,-1.0776045578260798,0.2211770866785773,5.226073126807544e-07,0.00013241838810037706
LOC100131726,1.8855062937260088,2.4274831477347387,0.869751036393379,7.481441008420947e-06,0.000982416961616736
GAL,1.8549636935968135,1.0063828436480782,1.0605666932099522,0.0008448623739037176,0.033911103088908136
CLEC4M,2.491425615808957,-1.8132223857045855,0.6665680199022126,4.1386342436603785e-05,0.003779392387992397
DEFA1B,2.496636429113621,-1.7510714635026878,0.6417348339010258,4.639081254524464e-05,0.004152093122830602
CXCL13,5.386281761219977,1.6012196255984001,0.28578567230990504,5.080719628404296e-09,3.862191291903986e-06
CDC25C,3.3786426538399748,1.6636201969227649,0.39043940834147656,2.4007501552977893e-06,0.00040910868985643894
LOC723809,5.401372731135078,-1.1337651195460074,0.2789356235028689,8.593816201468685e-06,0.0010811381361148366
ITLN2,5.100065036312499,-2.2509727897735443,0.3366650755170619,1.179413276106328e-12,8.50590326077319e-09
ITLN1,4.3994996915028,-1.471178338805007,0.32010056877504417,1.00081848937128e-06,0.00022228055091097934
SOSTDC1,6.066445735484537,-1.323889709303273,0.2588203737838558,1.1701257655293496e-07,3.9718042494099997e-05
ATP10B,3.347814360799918,2.136554400479658,0.423288890364748,2.7514064169310512e-08,1.499933376987564e-05
ABCA12,3.5431761114270652,3.2537776585394935,0.5244605495885709,1.8912514198495143e-12,8.50590326077319e-09
HHIPL2,2.795052558733445,2.844059062335599,0.5644858437062501,3.6950185789856274e-09,3.323669211797572e-06
C1orf87,3.703215491035422,-1.1764472321325485,0.4889632253647917,0.00015924439379836266,0.010417478707027434
COCH,4.48487641366114,1.0512842019359712,0.3504935767530572,7.081208595737888e-05,0.005661819672769982
ERVFRDE1,2.5732552680999947,-1.3484947394040496,0.6395469830337921,0.000198385144758541,0.012180712471693353
AWAT2,1.773253033382457,-1.1396639946334766,1.0295105394369966,0.0006539472978206529,0.028554640504353267
?|729884,3.0156760641834617,2.183593073322701,0.5113619210727837,6.972050717766851e-07,0.00016723625655016755
RETN,5.044932562456029,-1.0104036967584884,0.3413960033036943,7.634682093630989e-05,0.006024032055457083
SLITRK2,3.3478449173529903,-1.0149402602490079,0.566170223742156,0.00043403015833510427,0.02230915013842436
OR2W3,2.1024619000996405,-1.093931067050648,0.8621735415280917,0.0007644957283342556,0.03205322145216926
B4GALNT4,3.2023305032392386,1.4330475906334215,0.4929191813765018,5.982145573110995e-05,0.004936642149553522
CA9,3.6218087451074807,2.847644274185649,0.4774934536767132,2.24879725300962e-11,5.779408940234724e-08
CA4,6.0729684921214195,-1.5823049547640735,0.259913614989396,2.920740539764059e-10,5.254412231035542e-07
STRA6,3.5353818916850184,1.9540505623873707,0.40249472716009665,1.1468867450804644e-07,3.9677870276918374e-05
APCDD1L,2.291713753226665,1.0598167600998916,0.9378027904655704,0.0008698349435931788,0.03454377623673573
CHRM2,1.9691336176363574,-2.050962588887768,0.8334263367384444,3.123917269654765e-05,0.0030849661088271333
CHRM1,3.6305742081006427,-1.7685762901848254,0.39646751532211777,9.608942926319415e-07,0.00021608110405560785
MMP3,1.964447679883191,1.2272743165148496,1.001044266251843,0.0005313997119551373,0.025025866015897697
C9orf84,2.2140957296723642,1.3980183064687681,0.7943958315681151,0.00027158029797158875,0.015873447076545373
SCUBE1,5.817938165749245,-1.1910534272404782,0.2503797228688594,7.649324296918535e-07,0.00017871603130073304
CTNND2,4.3970043418029965,-1.1895400390022333,0.38535845197482177,5.729573539971631e-05,0.004839203191741298
SLC6A4,6.459423065105219,-2.0819307845842894,0.28128176119243353,1.1286711755501027e-14,2.030479444814635e-10
KIAA0408,6.230737367679558,-1.0712945353223688,0.24940724703207434,4.7082439813780014e-06,0.0007000108200412418
SLC5A9,4.874542552169812,-1.1931254445900257,0.2904563473204114,7.296117949604092e-06,0.000979531059055057
CCK,2.1094114975414273,-1.1749390394943198,0.877796656484385,0.0006087408556304835,0.027378119981981
HORMAD1,2.54877345658452,1.9539787097202281,0.6236715063574301,1.7180176102461703e-05,0.0019196979384055032
FGF11,4.649137465408303,1.039178039469399,0.33217233227297727,5.7982585399867485e-05,0.00484571710091177
FGF10,1.8784719728391575,-1.367854650164516,0.995818493068445,0.000357488315999074,0.01960736220982726
GLB1L3,2.259867189610902,1.7577118571482806,0.871613407911472,9.693038672487846e-05,0.007343944369534584
MMP1,5.737459342866265,1.157845617673937,0.2723653356748025,5.010594420717577e-06,0.0007269402711992679
OTX1,3.0169752959414406,1.7530875150526033,0.4543833497769963,6.305578503283216e-06,0.0008725950559543466
GYPE,4.098181531314127,-1.004271880026305,0.4113004074205875,0.00016616420025139723,0.010752855980297252
SLC4A1,2.3006263082804215,-1.8187098972143732,0.6344879251819641,3.370842186068728e-05,0.0032256090918817244
ASPG,3.4094058213952656,-1.8954054904072655,0.41605382226017257,4.954745331340393e-07,0.0001273369550154481
